code,company_name,title,pubdate,text_path,word_path,word_count
96190,イチネンＨＤ,2026年３月期　決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\96190_2026年３月期　決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\96190_2026年３月期　決算短信〔日本基準〕（連結）_words.csv,7819
96820,ＤＴＳ,2026年３月期　決算短信〔日本基準〕(連結),2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\96820_2026年３月期　決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\96820_2026年３月期　決算短信〔日本基準〕(連結)_words.csv,11164
98490,共同紙,業績予想の修正に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\98490_業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\98490_業績予想の修正に関するお知らせ_words.csv,565
31910,ジョイフル本田,2026年6月期　第3四半期決算短信〔日本基準〕（連結）,2026-05-01 15:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\31910_2026年6月期　第3四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\31910_2026年6月期　第3四半期決算短信〔日本基準〕（連結）_words.csv,3478
64670,ニチダイ,2026年３月期　決算短信〔日本基準〕（連結）,2026-05-01 15:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\64670_2026年３月期　決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\64670_2026年３月期　決算短信〔日本基準〕（連結）_words.csv,6207
58320,ちゅうぎんＦＧ,2026年３月期決算短信〔日本基準〕(連結),2026-05-01 14:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\58320_2026年３月期決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\58320_2026年３月期決算短信〔日本基準〕(連結)_words.csv,4712
80580,三菱商事,2026年3月期 決算短信〔ＩＦＲＳ〕(連結),2026-05-01 14:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\80580_2026年3月期 決算短信〔ＩＦＲＳ〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\80580_2026年3月期 決算短信〔ＩＦＲＳ〕(連結)_words.csv,8125
88600,フジ住宅,2026年３月期　決算短信〔日本基準〕（連結）,2026-05-01 14:00:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\88600_2026年３月期　決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\88600_2026年３月期　決算短信〔日本基準〕（連結）_words.csv,7628
47720,Ｇ－ＳＭ　ＥＮＴＥＲ,2026年12月期 第１四半期決算短信〔日本基準〕（連結）,2026-05-01 13:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\47720_2026年12月期 第１四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\47720_2026年12月期 第１四半期決算短信〔日本基準〕（連結）_words.csv,2415
93100,トランスシティ,業績予想および配当予想の修正に関するお知らせ,2026-05-01 13:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\93100_業績予想および配当予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\93100_業績予想および配当予想の修正に関するお知らせ_words.csv,2207
